Name,Number_of_Ratings,Rating,Longitude,Latitude,Category
Ad Dar Al Baida,8.0,4.9,46.7763009,24.5599956,metro_stations
Western Station,1.0,1.0,46.6144964,24.5819475,metro_stations
Al Aziziah,1.0,4.0,46.76082299999999,24.5872573,metro_stations
Aishah bint Abi Bakr Street,1.0,5.0,46.6437994,24.6005633,metro_stations
Al Iman Hospital,2.0,5.0,46.73584079999999,24.6005143,metro_stations
Transportation Center,4.0,5.0,46.74510239999999,24.5982926,metro_stations
Dhahrat Al Badiah,3.0,4.3,46.6537887,24.606738,metro_stations
Manfouhah,9.0,4.3,46.7275224,24.6105439,metro_stations
Sultanah,,,46.6864245,24.6149704,metro_stations
Al Jarradiyah,,,46.69741090000001,24.6182534,metro_stations
Skirinah,,,46.7253485,24.6178532,metro_stations
Courts Complex,7.0,3.3,46.71229599999999,24.6267301,metro_stations
Al Owd,,,46.7215127,24.6255297,metro_stations
Qasr Al Hokm,10.0,4.4,46.7162036,24.6289022,metro_stations
Al Hilla,1.0,5.0,46.721881,24.6322502,metro_stations
Al Bat’ha,1.0,5.0,46.7147124,24.6369127,metro_stations
Al Margab,,,46.7263187,24.6344958,metro_stations
As Salhiyah,1.0,5.0,46.7329123,24.63776189999999,metro_stations
National Museum,12.0,4.7,46.7131583,24.6452738,metro_stations
First Industrial City,1.0,5.0,46.7394161,24.6451922,metro_stations
Ministry of Finance,,,46.7163114,24.6521076,metro_stations
Railway,,,46.7406288,24.6494052,metro_stations
Passport Department,2.0,5.0,46.70422009999999,24.6598064,metro_stations
King Abdulaziz Hospital,2.0,4.5,46.7177038,24.6596758,metro_stations
Al Malaz,2.0,5.0,46.7447701,24.6614228,metro_stations
Al Muorabba,,,46.7022887,24.6648026,metro_stations
Ministry of Defence,,,46.71826979999999,24.6679945,metro_stations
Ministry of Interior,,,46.6949136,24.6744353,metro_stations
Al Wizarat,2.0,4.5,46.71839550000001,24.6760189,metro_stations
Jarir District,1.0,5.0,46.76029299999999,24.6729904,metro_stations
Al Rajhi Grand Mosque,,,46.779454,24.6801982,metro_stations
Gosi,2.0,5.0,46.71818890000001,24.68627099999999,metro_stations
Harun ar Rashid Road,,,46.795992,24.6860343,metro_stations
King Fahd Library,1.0,5.0,46.6870353,24.6900745,metro_stations
Bank Albilad,3.0,5.0,46.6836577,24.6966365,metro_stations
Officers Club,2.0,5.0,46.7179554,24.6978852,metro_stations
An Naseem,7.0,4.4,46.8275319,24.7004315,metro_stations
Alinma Bank,1.0,4.0,46.6804148,24.702986,metro_stations
Abu Dhabi square,6.0,4.2,46.7163204,24.7060545,metro_stations
King Saud University,2.0,5.0,46.6284023,24.7102491,metro_stations
Ad Dhabab,1.0,5.0,46.7075259,24.7097595,metro_stations
King Salman Oasis,5.0,4.8,46.6386072,24.7169814,metro_stations
Al Urubah,2.0,3.0,46.67521350000001,24.7133582,metro_stations
As Sulimaniyah,,,46.7003484,24.712787,metro_stations
Hassan Bin Thabit Street,,,46.84745649999999,24.7127625,metro_stations
KACST,1.0,4.0,46.64809340000001,24.7210125,metro_stations
Al Wurud 2,1.0,2.0,46.6713508,24.7210533,metro_stations
Khashm Al An,,,46.8603114,24.7212165,metro_stations
At Takhassussi,1.0,5.0,46.654669,24.7237623,metro_stations
STC,1.0,5.0,46.6668053,24.7267406,metro_stations
As Salam,1.0,5.0,46.8112903,24.7226689,metro_stations
King Salman Park,1.0,4.0,46.7009143,24.728193,metro_stations
Al Wurud,1.0,5.0,46.6770012,24.7332599,metro_stations
King Fahd District 2,3.0,5.0,46.6635085,24.7365806,metro_stations
King Abdulaziz Road,2.0,5.0,46.6854992,24.7367927,metro_stations
Ministry of Education,1.0,5.0,46.6948417,24.7401133,metro_stations
Khurais Road,3.0,4.3,46.7987229,24.740717,metro_stations
King Fahd District,2.0,4.5,46.6591427,24.745196,metro_stations
An Nuzhah,3.0,2.3,46.71226900000001,24.7480677,metro_stations
Al Murooj,2.0,3.0,46.6544534,24.7545288,metro_stations
Riyadh Exhibition Center,,,46.7271092,24.7545206,metro_stations
Al Andalus,,,46.7903506,24.7567803,metro_stations
Kafd,15.0,4.7,46.64329639999999,24.7671807,metro_stations
Khalid Bin Alwaleed Road,1.0,5.0,46.75888259999999,24.76760489999999,metro_stations
Al Hamra,,,46.7766872,24.775949,metro_stations
Al Khaleej,1.0,5.0,46.7940337,24.7818785,metro_stations
Ar Rabi,,,46.6601128,24.78621739999999,metro_stations
Granadia,3.0,4.7,46.7292023,24.7864457,metro_stations
Al Yarmuk,1.0,5.0,46.7662398,24.7912982,metro_stations
Ishbiliyah,4.0,5.0,46.8111286,24.7924073,metro_stations
King Fahd Sport City,4.0,5.0,46.83659590000001,24.7930679,metro_stations
Uthman Bin Affan Road,1.0,5.0,46.6959646,24.80138589999999,metro_stations
Sabic,2.0,5.0,46.7095202,24.8070777,metro_stations
Dr Sulaiman Al Habib,5.0,4.2,46.6257792,24.8114727,metro_stations
SAB Bank,4.0,2.8,46.6165805,24.8294509,metro_stations
Pnu 1,,,46.7174164,24.8414022,metro_stations
Metro Station 4,78.0,4.2,46.7171533,24.85559890000001,metro_stations
Princess Noura University 2,,,46.7045615,24.8596532,metro_stations
Airport T5,2.0,5.0,46.7102298,24.9408001,metro_stations
Airport T3-4,6.0,4.7,46.7022528,24.9559904,metro_stations
Airport T1-2,4.0,2.5,46.6989919,24.9609991,metro_stations
Jeddah Road,4.0,4.0,46.5435474,24.5914477,metro_stations
Ad Douh,3.0,5.0,46.5883285,24.5827481,metro_stations
Tuwaiq,4.0,5.0,46.5596991,24.5854683,metro_stations
Riyadh Metro Station | MOE,32.0,4.6,46.6947625,24.7406772,metro_stations
Riyadh Metro Station | SAB,535.0,4.7,46.6163548,24.8300181,metro_stations
KAFD Metro Station,561.0,4.6,46.6430625,24.7674375,metro_stations
Riyadh Metro Station - STC محطة مترو الرياض - اس تي سي (ازرق),407.0,4.8,46.66700729999999,24.7266373,metro_stations
My Med pharmacy صيدلية ماي ميد,12.0,4.8,46.8379647,24.7459142,pharmacies
صيدلية آدم,26.0,4.5,46.59057,24.8069842,pharmacies
صيدلية زهرة الروضة,6.0,4.5,46.7015266,24.560551,pharmacies
صيدلية الورده البيضاء,7.0,4.6,46.6053355,24.5950271,pharmacies
صيدلية بيت الأدوية,21.0,3.0,46.7635851,24.7623544,pharmacies
صيدلية الشافي,22.0,4.0,46.6662153,24.5798088,pharmacies
Real Star,19.0,4.6,46.7495691,24.7560258,pharmacies
صيدلية العناية الدوائيةحى الملك عبد الله,23.0,2.4,46.7477629,24.7332045,pharmacies
صيدلية وايتس,9.0,4.6,46.6834003,24.7382219,pharmacies
صيدلية الدواء,14.0,3.1,46.7913338,24.7745417,pharmacies
صيدلية الجازع,89.0,3.9,46.74979829999999,24.627474,pharmacies
صيدلية لمسات الخليج للادوية,5.0,5.0,46.8663548,24.8864928,pharmacies
صيدلية النهدي,94.0,3.2,46.632546,24.78919,pharmacies
صيدلية اورنج,38.0,4.3,46.7009365,24.5547869,pharmacies
صيدلية عناية السمو,32.0,3.7,46.6065709,24.8932567,pharmacies
صيدلية الرواد الإستشارية,46.0,3.8,46.788509,24.567913,pharmacies
صيدلية بسمة,5.0,4.2,46.65789729999999,24.7561393,pharmacies
صيدلية ليمون,52.0,3.3,46.7019296,24.5301781,pharmacies
Best Care Pharmacy صيدلية العناية الافضل,10.0,4.4,46.7003889,24.6179392,pharmacies
صيدلية زهرة الروضة,27.0,3.7,46.6494959,24.5646005,pharmacies
صيدلية صحة زينة المتطورة,53.0,4.8,46.5756714,24.5760389,pharmacies
صيدلية القفاري,9.0,4.8,46.7775533,24.5855218,pharmacies
صيدلية النهدي,311.0,4.3,46.673278,24.689909,pharmacies
Lana Pharmacy,12.0,4.0,46.7832348,24.8450292,pharmacies
صيدلية الدواء,124.0,3.8,46.7579521,24.7454557,pharmacies
صيدلية انوفا,75.0,3.9,46.7816875,24.5585625,pharmacies
صيدلية النهدي,165.0,4.1,46.746451,24.615196,pharmacies
صيدلية الدواء,127.0,3.9,46.699489,24.539555,pharmacies
صيدلية مجد العليا,20.0,4.1,46.7900768,24.6832139,pharmacies
صيدلية هرم الصحة  / صيدلية زائد واحد,5.0,4.2,46.7111896,24.5973653,pharmacies
صيدلية الدواء,66.0,4.3,46.846996,24.750784,pharmacies
صيدلية بحر العلاج . (شركه صيدليات زهره الروضة ),19.0,3.8,46.7455907,24.694967,pharmacies
صيدلية الدواء,58.0,3.4,46.690356,24.799658,pharmacies
صيدلية زهرة الروضة,9.0,4.6,46.630274,24.710786,pharmacies
صيدلية النهدي,62.0,3.6,46.8508862,24.7293188,pharmacies
صيدلية زهرة الروضة,21.0,2.9,46.6260833,24.7140833,pharmacies
Wahag pharmacy,16.0,4.3,46.6631643,24.5339601,pharmacies
صيدلية وايتس,55.0,3.6,46.7554869,24.7668824,pharmacies
Smart Apple pharmacy,12.0,4.3,46.7459458,24.8229249,pharmacies
صيدلية الوراثة العربية للأدوية,10.0,5.0,46.85035389999999,24.8600726,pharmacies
صيدلية زاوية العاصمة بالمنفوحة,11.0,4.5,46.7179657,24.6188551,pharmacies
صيدلية الوطن,15.0,3.6,46.78679169999999,24.6913948,pharmacies
صيدلية وايتس,203.0,4.2,46.6471692,24.7314833,pharmacies
صيدلية ترياق العلاج,8.0,4.9,46.6163496,24.5989838,pharmacies
صيدلية ليمون,19.0,3.5,46.6206956,24.8101894,pharmacies
صيدلية النهدي,62.0,3.9,46.685643,24.817407,pharmacies
صيدلية النهدي,132.0,3.9,46.6266188,24.5902835,pharmacies
صيدلية النهدي,11.0,4.5,46.77670699999999,24.591567,pharmacies
صيدلية داما السعودية,61.0,3.5,46.68072979999999,24.675477,pharmacies
صيدلية سيف,27.0,3.5,46.71940439999999,24.7798338,pharmacies
صيدلية الدواء,34.0,3.2,46.8164375,24.7694375,pharmacies
Nadheem Pharmacy,67.0,3.7,46.8795425,24.8147542,pharmacies
صيدليه عنايه السمو,16.0,3.8,46.6414638,24.8672895,pharmacies
صيدلية انوفا,8.0,3.1,46.6577645,24.5200629,pharmacies
صيدلية بلسم ليليا,10.0,4.6,46.8044005,24.8443496,pharmacies
صيدلية انوفا,22.0,3.8,46.7811015,24.8285258,pharmacies
صيدلية عناية السمو,6.0,3.7,46.619417,24.9109253,pharmacies
صيدلية بيت الادوية,7.0,3.9,46.7743259,24.5936176,pharmacies
صيدلية,15.0,4.1,46.7646717,24.556404,pharmacies
Sama pharmacy,5.0,5.0,46.59010199999999,24.8301818,pharmacies
صيدلية انوفا,27.0,3.4,46.7627239,24.7626036,pharmacies
صيدلية الشافي,60.0,4.3,46.7068916,24.6638442,pharmacies
صيدلية شمس,20.0,4.4,46.8518817,24.6065752,pharmacies
صيدلية الجازع,14.0,4.2,46.8476922,24.7142784,pharmacies
صيدلية عزيز,27.0,3.7,46.8197705,24.765821,pharmacies
Amoon Pharmacy,17.0,4.1,46.7117191,24.670943,pharmacies
صيدلية الجازع,173.0,4.4,46.7177669,24.7819103,pharmacies
صيدلية الدواء,141.0,3.8,46.6198539,24.8095769,pharmacies
صيدلية ليمون,30.0,4.2,46.786155,24.5721551,pharmacies
صيدلية زهرة الروضة,27.0,3.9,46.8210833,24.6844167,pharmacies
صيدلية النهدي,46.0,4.1,46.657632,24.786328,pharmacies
صيدلية النهدي,7.0,3.9,46.75933,24.7395427,pharmacies
صيدلية امون,12.0,4.1,46.8712739,24.5638486,pharmacies
صيدلية الدواء,62.0,3.6,46.6171746,24.7686239,pharmacies
صيدلية كنوز,109.0,4.5,46.5828638,24.5948366,pharmacies
صيدلية الدواء,138.0,4.0,46.766775,24.583651,pharmacies
صيدلية دلتا (),34.0,4.1,46.6805619,24.8517304,pharmacies
صيدلية نجم العناية للادوية,9.0,3.0,46.819138,24.9230876,pharmacies
